Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BUMI,208,0%,208,210,212,204,21351,21817246,455754420,77237762
BBRI,3330,-2.0588235294117645%,3400,3400,3400,3320,20326,998748,333945118,499644561
BMRI,4350,-2.027027027027027%,4440,4440,4450,4330,16329,728230,317656035,401940000
BBCA,6450,-0.7692307692307693%,6500,6500,6500,6350,10677,456220,292632433,787172832
AMMN,5025,-1.4705882352941175%,5100,5100,5125,4970,16901,463091,233856074,364404044
ANTM,3220,0.9404388714733543%,3190,3190,3270,3160,13692,659272,212486614,77379062
BRMS,730,0%,730,730,740,720,21077,2806122,205328892,103502349
TLKM,2700,0.37174721189591076%,2690,2720,2720,2670,9690,690612,186387691,267467985
COCO,148,5.714285714285714%,140,142,151,138,36068,11888225,173431890,2107198
DSSA,1085,1.4018691588785046%,1070,1070,1100,1050,11881,1235933,133007216,209012317
TINS,4790,1.9148936170212765%,4700,4690,4820,4650,6571,252255,120211976,35674739
LAPD,91,-2.1505376344086025%,93,102,105,89,45678,11744503,114659828,360938
CUAN,930,-1.0638297872340425%,940,940,950,920,11537,1199024,111652829,104549577
JARR,3990,4.177545691906006%,3830,3850,4050,3750,7300,247341,97591873,36830354
DEWA,400,-1.477832512315271%,406,406,410,396,11153,2004456,80509558,16274974
BBNI,3780,-2.3255813953488373%,3870,3870,3870,3760,6497,196276,74264459,139574004
TPIA,1845,-1.0723860589812333%,1865,1870,1880,1845,8452,381665,70864748,159613801
PTRO,5250,-0.9433962264150944%,5300,5350,5400,5225,4978,119538,63344210,52951763
KOTA,208,7.772020725388601%,193,194,210,191,16298,2970012,59742012,2193607
BULL,422,-0.4716981132075472%,424,426,428,418,6207,1399277,59164127,6538652
ASII,4930,-1.0040160642570282%,4980,4980,4980,4900,4274,117209,57769919,199583917
EMAS,7675,-0.3246753246753247%,7700,7775,7825,7600,4156,71123,54587545,113063235
ENRG,1450,-0.3436426116838488%,1455,1460,1475,1415,4890,353196,51266202,38518588
DEFI,136,32.038834951456316%,103,105,137,104,29971,4015989,50905208,93468
FORU,4340,-6.666666666666667%,4650,5175,5500,4180,7723,99133,47339872,2019072
AHAP,121,17.475728155339805%,103,103,129,103,18640,3995360,47313105,592900
MDIA,216,8%,200,200,218,197,8256,2259346,47021235,8470556
ISAT,2380,0%,2380,2390,2400,2350,4345,197621,47019850,76756930
HMSP,675,-6.25%,720,730,730,660,5560,681762,46033138,78514702
ULTJ,1860,8.454810495626822%,1715,1745,1915,1690,5855,249289,46001825,19340606
INET,328,-1.2048192771084338%,332,332,334,324,8003,1373976,45054988,7339903
SINI,13425,-2.3636363636363638%,13750,13975,13975,13350,2537,32695,44520618,16143563
MDKA,2840,-1.3888888888888888%,2880,2880,2900,2820,4827,133751,38289330,69503274
ERAA,590,1.7241379310344827%,580,580,605,580,3915,641838,38123604,9410500
