Symbol,Price,Change_pct,Bid,Ask,Value_B,Lot,Freq,Avg,Prev,Open,High,Low,Price_MA20,52W_High,MarketCap_B,FreeFloat_pct,RSI14,Value_MA20,Volume_MA50,Bandar_AccumDist,Bandar_Value_B,Bandar_Value_MA10_B,Net_Insider_3M_pct,NFF_1W_B,NFF_1M_B,RSR_pct,Shareholders_chg_3M_pct,NFB_Streak,Div_Yield_pct
ANTM,3240,0.62,3340,3350,121.71,377.02K,9.50K,3228,3280,3250,3270,3190,3177.00,4970.00,80262.75,34.84,62.82,380696762250.00,107983390.00,53.67,-1193.78,-1329.58,,184.79,1083.26,58,2.29,4.00,6.29
ARCI,1380,2.99,1370,1375,83.90,611.98K,14.61K,1371,1340,1360,1380,1345,1347.00,2120.00,34824.30,15.85,60.54,68531946700.00,45720758.00,21.89,140.93,124.57,65.80,45.85,11.82,75,-11.51,6.00,1.50
BEST,124,-1.59,123,124,2.12,171.46K,1.31K,124,126,126,126,122,129.00,144.00,1196.27,40.36,49.97,9464138395.00,37072254.00,-0.36,-975.96,-975.64,,-0.36,2.91,76,4.08,,
DMAS,192,-2.04,192,193,29.21,1.49M,9.07K,195,196,197,199,191,192.00,214.00,9254.04,17.62,57.63,91191409190.00,252508542.00,-21.56,-442.41,-440.70,,18.68,58.93,87,3.25,,8.59
DSNG,1690,1.81,1670,1680,6.87,41.03K,1.50K,1675,1660,1670,1690,1665,1613.00,2050.00,17913.73,33.07,64.68,9984022975.00,5775834.00,17.06,41.65,40.74,0.23,1.24,0.52,83,0.86,2.00,2.78
EKAD,398,-1.00,398,400,1.19,29.87K,606,400,402,404,406,396,406.00,466.00,1390.56,16.83,60.08,9849769340.00,13543356.00,12.76,-2.63,-2.59,,0.31,2.93,97,26.74,3.00,2.26
ERAA,625,0.81,620,625,77.25,1.23M,8.92K,628,620,625,645,615,554.00,645.00,9968.75,40.70,72.96,93164555600.00,115973604.00,-8.10,-857.85,-855.99,,67.84,281.45,92,-8.32,2.00,4.00
MBSS,2900,0.35,2890,2900,5.34,18.44K,159,2897,2890,2890,2900,2880,2857.00,4000.00,5075.08,17.50,64.23,5605340500.00,1600164.00,-14.28,-45.91,-46.78,82.50,1.08,6.84,89,-23.81,3.00,
MGLV,14325,0.00,14450,14475,3.65,2.52K,471,14427,14400,14300,14650,14200,13115.00,16450.00,27430.32,32.92,69.51,16340718625.00,1082672.00,34.88,-60.37,-56.87,-15.67,4.98,21.71,100,100.72,4.00,
OILS,306,-1.92,308,310,2.81,92.64K,1.08K,304,312,312,312,296,277.00,358.00,138.94,36.14,67.34,5749080680.00,18365380.00,-22.50,-22.31,-22.46,,0.85,3.57,92,1.84,4.00,
PGEO,1060,0.47,1040,1045,18.96,181.08K,2.74K,1047,1055,1055,1060,1030,1038.00,1545.00,44431.01,11.09,56.33,13768975550.00,20618540.00,29.67,-665.12,-670.47,-0.01,8.56,13.87,61,-2.56,2.00,4.66
PKPK,4190,0.48,4280,4300,1.86,4.46K,213,4177,4300,4170,4220,4150,4064.00,4790.00,5160.00,18.83,62.02,7215125950.00,1455502.00,9.04,-43.23,-42.99,75.00,0.57,6.38,99,-3.22,4.00,
SGER,700,0.00,690,700,12.24,176.37K,615,694,700,710,710,685,644.00,720.00,10910.84,20.80,70.49,39219573370.00,37769258.00,-6.61,68.24,64.24,,6.85,39.74,94,-12.01,4.00,1.29
TAPG,2250,1.81,2200,2210,15.44,68.4K,2.40K,2257,2250,2200,2290,2200,2201.00,2480.00,43874.11,11.40,56.53,60860280200.00,20325932.00,10.07,-267.42,-258.08,13.94,15.26,236.33,88,-2.25,,9.10
ULTJ,1880,0.00,2050,2060,10.27,54.58K,969,1881,1900,1870,1900,1830,1596.00,2190.00,21420.24,13.80,89.77,27947081775.00,7511998.00,-14.29,-112.98,-97.06,,22.98,21.48,89,8.95,9.00,6.31
VICI,1140,-5.79,1145,1150,6.50,55.75K,813,1166,1210,1240,1240,1140,957.00,1295.00,7647.12,14.65,73.02,9690621625.00,4629624.00,-24.14,-69.83,-66.93,25.00,-0.01,3.86,94,-24.22,,0.70
