Symbol,Price,Change_pct,Bid,Ask,Value_B,Lot,Freq,Avg,Prev,Open,High,Low,Price_MA20,52W_High,MarketCap_B,FreeFloat_pct,RSI14,Value_MA20,Volume_MA50,Bandar_AccumDist,Bandar_Value_B,Bandar_Value_MA10_B,Net_Insider_3M_pct,NFF_1W_B,NFF_1M_B,RSR_pct,Shareholders_chg_3M_pct,NFB_Streak,Div_Yield_pct
AALI,8675,0.58,8625,8650,16.05,18.57K,1.11K,8638,8625,8625,8700,8575,8320.00,8700.00,16696.67,20.27,68.90,15187138750.00,1479658.00,12.06,-799.51,-803.29,,28.61,29.97,82,-0.27,2.00,5.28
AGII,3510,6.36,3360,3380,5.54,16.26K,691,3408,3300,3300,3580,3260,3010.00,3700.00,10395.98,7.25,71.31,1166145950.00,305952.00,38.66,96.92,94.39,15.00,-3.07,-3.16,96,-2.35,,0.34
AMMN,4950,-3.88,4890,4900,303.77,607.33K,17.03K,5002,5150,5125,5200,4930,4617.00,8500.00,355339.27,22.75,60.41,80839683132026.00,,-31.88,-5351.70,-5384.94,,92.26,213.75,40,44.44,,
ANTM,3240,0.62,3260,3270,121.17,377.02K,9.50K,3228,3220,3250,3270,3190,3167.00,4970.00,78820.91,34.84,59.64,380501947800.00,106780024.00,11.13,-1299.05,-1347.40,,28.93,1006.30,45,2.29,3.00,6.40
BBRI,3340,0.30,3340,3350,203.21,607.79K,9.36K,3343,3330,3350,3360,3330,3300.00,4270.00,504691.48,42.53,56.44,661628478200.00,207826930.00,22.69,-29533.12,-29523.31,,-0.99,1731.75,35,3.60,1.00,10.39
BDKR,164,2.50,162,163,3.38,209.8K,2.32K,161,160,160,164,158,158.00,191.00,774.92,22.88,59.61,177300929430.00,12006170.00,18.55,-37.98,-38.35,0.08,0.38,0.19,71,-4.46,1.00,1.62
BMSR,362,-2.16,362,366,101.03M,2.8K,127,360,370,380,380,354,326.00,404.00,419.63,36.39,62.24,152703505722.00,250468.00,11.13,-5.55,-5.59,59.11,-0.00,0.01,76,3.90,1.00,
BRMS,730,0.00,735,740,96.76,1.33M,10.56K,727,730,730,740,715,721.00,1385.00,104211.27,50.93,60.90,262956529625.00,406698858.00,13.61,2268.98,2172.71,,324.74,281.58,60,-1.12,,
DEWI,183,7.65,181,183,16.54,941.24K,6.37K,176,170,170,183,168,157.00,222.00,366.00,34.22,84.83,8064430015.00,62798240.00,11.05,14.42,13.51,0.42,5.03,2.25,88,-21.43,2.00,
DMAS,196,4.26,195,196,41.02,2.1M,10.19K,194,188,189,197,189,191.00,214.00,9446.83,17.62,61.65,92327470755.00,250406390.00,9.48,-440.02,-440.36,,17.64,57.60,88,3.25,4.00,8.42
FORE,810,3.85,805,810,5.44,6.73K,2.00K,808,780,780,825,780,809.00,1135.00,7223.87,21.08,55.02,5058767700.00,9426518.00,23.04,33.63,33.33,0.48,0.82,0.67,87,-4.36,1.00,
HATM,565,0.00,565,565,8.40,151.48K,1.83K,554,565,555,565,540,588.00,685.00,4904.20,11.22,48.01,12221357850.00,25884640.00,17.12,5.65,5.63,7.37,0.34,-4.12,94,1.65,2.00,0.35
LSIP,1735,1.46,1735,1740,15.49,89.37K,2.21K,1732,1710,1710,1740,1700,1599.00,1810.00,11832.64,40.01,72.24,23307231025.00,9783244.00,31.31,-482.37,-494.19,,19.03,29.66,87,5.47,2.00,4.78
MAPI,1455,5.43,1475,1480,17.95,124.39K,3.82K,1444,1380,1380,1490,1370,1426.00,1940.00,24153.00,12.76,31.54,8489569675.00,21252266.00,48.17,-618.59,-625.71,36.25,3.75,-29.76,73,-9.26,2.00,0.69
MGLV,14325,0.00,14425,14450,3.65,2.52K,471,14327,14325,14300,14650,14200,12949.00,16450.00,27430.32,32.92,69.51,9030061712177.00,,15.48,-60.98,-56.22,-15.67,8.62,25.04,100,100.72,3.00,
PKPK,4190,0.48,4280,4300,1.86,4.46K,213,4177,4170,4170,4220,4150,4032.00,4790.00,5160.00,18.83,62.02,7163773100.00,1475272.00,-25.91,-43.37,-43.27,75.00,2.50,6.65,99,-3.22,3.00,
PTBA,3070,2.33,3020,3130,53.78,175.93K,5.05K,3053,3000,3010,3080,2990,2800.00,3220.00,36174.87,32.76,78.38,151097969250.00,27394590.00,13.73,-1358.51,-1429.87,,30.34,390.14,82,7.42,1.00,3.65
SINI,15575,7.60,16575,16600,134.90,717K,,15277,14475,14425,15700,14250,12279.00,16800.00,20202.00,29.59,77.41,180371330250.00,7521006.00,3.54,-536.80,-532.43,7.37,108.99,278.01,99,55.02,2.00,
SMDR,398,2.05,394,396,9.49,240.21K,2.01K,395,390,388,400,388,349.00,474.00,6517.49,19.24,81.89,10825930390.00,17091350.00,39.02,-241.25,-246.43,,10.42,17.69,82,-1.80,2.00,3.02
TAPG,2250,1.81,2240,2250,15.44,68.4K,2.40K,2257,2210,2200,2290,2200,2186.00,2480.00,44668.21,11.40,59.85,62476096600.00,20346056.00,-27.94,-268.64,-258.40,13.94,21.79,248.65,89,-2.25,,8.93
ULTJ,1880,0.00,1895,1900,10.27,54.56K,969,1881,1880,1870,1900,1830,1568.00,1995.00,19756.53,13.80,86.08,15572988125.00,5054256.00,1.03,-101.60,-94.86,,21.23,17.20,86,8.95,8.00,6.84
UNTR,26025,-0.19,25700,25725,24.99,9.58K,2.06K,26081,26075,26025,26400,25925,25169.00,32825.00,95864.47,32.83,56.47,111489113000.00,4299412.00,-7.06,304.61,265.32,1.79,19.87,46.18,42,17.99,2.00,6.47
VISI,1230,-3.91,1245,1250,15.19,119.72K,1.80K,1269,1280,1310,1380,1180,1006.00,1380.00,3782.25,19.67,73.18,3219434525.00,1807918.00,-3.60,-36.07,-34.98,,628.81,0.60,100,16.95,1.00,0.08
