Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
DEFI,139,34.95145631067961%,103,105,139,104,39991,6263674,81872867,95530
CCSI,442,24.858757062146893%,354,362,442,358,3444,150356,6262899,589333
VOKS,324,24.615384615384617%,260,266,324,254,4422,160897,4961516,1346415
ALKA,7400,18.87550200803213%,6225,7175,7450,6475,1918,8948,6595170,3756721
TRJA,145,18.852459016393443%,122,122,164,122,11918,805569,12186536,218979
SEMA,234,18.781725888324875%,197,210,260,208,12521,892262,21394644,315259
SCCO,3020,17.509727626459142%,2570,2550,3140,2550,1183,34501,10135819,2483447
MPIX,187,16.875%,160,164,195,156,19959,1997563,35729450,292201
JECC,985,15.88235294117647%,850,860,1030,860,1654,17156,1670463,744660
AHAP,118,14.563106796116504%,103,103,129,103,36854,7016126,83785261,578200
AGAR,2740,13.692946058091287%,2410,2990,3010,2230,7915,51784,14186262,2740000
UVCR,173,11.612903225806452%,155,155,173,151,9312,1786281,29362458,346025
KBLI,390,11.428571428571429%,350,350,426,338,5132,204716,7911794,1562822
ASPI,555,11%,500,500,595,480,807,48462,2570544,379515
ASPR,153,10.869565217391305%,138,138,153,136,4385,519070,7664147,414936
INTD,320,9.58904109589041%,292,290,320,264,1907,60431,1779643,189385
KBLM,390,9.550561797752808%,356,358,414,352,3290,115704,4486785,436800
SRSN,107,9.183673469387756%,98,99,107,96,10105,2898894,29918236,644140
TOOL,75,8.695652173913043%,69,70,83,69,14145,3812609,29590579,153752
ENZO,81,8%,75,76,85,73,10030,1598360,12897487,175166
HOMI,252,7.6923076923076925%,234,234,258,230,825,60131,1466913,396900
NZIA,199,7.567567567567568%,185,189,199,181,2518,194616,3758171,437311
TMPO,159,7.4324324324324325%,148,150,168,147,6284,431232,6888369,168275
MDIA,214,7.000000000000001%,200,200,218,197,12354,3136268,65636929,8392125
DART,169,6.962025316455696%,158,157,178,157,2995,107052,1832804,530895
SMLE,220,6.796116504854369%,206,208,226,200,8786,607951,13103221,512194
APIC,442,6.763285024154589%,414,414,474,414,1801,32140,1420684,5200711
CENT,112,6.666666666666667%,105,105,118,103,5929,723470,8128058,3492548
PTSN,480,6.666666666666667%,450,452,500,450,8408,399588,18667922,2550885
MINE,304,6.293706293706294%,286,290,320,282,2556,106016,3200229,1241668
NICK,2600,6.122448979591836%,2450,2500,2770,2500,109,595,157033,1692990
DGIK,142,5.970149253731343%,134,134,144,133,1738,216249,3006922,786845
VICI,1180,5.829596412556054%,1115,1155,1200,1070,2180,189224,21720209,7915440
BSIM,1090,5.825242718446602%,1030,1065,1240,1065,1060,9654,1128309,21274535
BDKR,164,5.806451612903226%,155,154,164,154,2431,382819,6081415,774917
LRNA,220,5.769230769230769%,208,208,222,202,719,18249,393653,77000
MGNA,148,5.714285714285714%,140,145,162,141,3537,240470,3683237,504846
KOTA,204,5.699481865284974%,193,194,210,191,23004,4139873,83626332,2151422
ECII,167,5.69620253164557%,158,158,185,157,2532,133633,2331155,222834
EPMT,2620,5.64516129032258%,2480,2490,2780,2480,379,2800,740652,7096637
KJEN,170,5.590062111801243%,161,161,197,155,18705,2312838,41700416,85000
IKBI,580,5.454545454545454%,550,555,635,550,2098,30049,1784961,709920
OBMD,202,5.208333333333334%,192,202,210,192,456,21460,431511,162811
ULTJ,1800,4.956268221574344%,1715,1745,1995,1690,12978,514283,95393756,18716715
YOII,85,4.938271604938271%,81,81,93,80,10286,1315262,11456082,333794
PYFA,258,4.878048780487805%,246,250,280,244,3342,465247,12148812,2899082
KLBF,770,4.761904761904762%,735,740,780,730,7225,1233250,92932346,36046311
AKPI,550,4.761904761904762%,525,540,570,525,323,14387,788648,336736
BIPP,67,4.6875%,64,65,71,63,4029,372948,2526337,336921
KKES,91,4.597701149425287%,87,86,93,83,3527,588578,5242894,136500
CBUT,1035,4.545454545454546%,990,990,1040,955,270,1325,132152,3234375
MAPI,1385,4.528301886792453%,1325,1330,1440,1330,4277,178142,24965457,22991000
INCI,810,4.516129032258064%,775,775,815,765,145,1986,159043,168202
TYRE,116,4.504504504504505%,111,112,126,109,615,42944,501209,403747
SQMI,95,4.395604395604396%,91,93,97,90,5057,1448388,13622621,1476071
ERAA,605,4.310344827586207%,580,580,620,580,11520,1659149,99868220,9649750
MARK,1155,4.054054054054054%,1110,1105,1160,1105,2376,222343,25293582,4389000
ROCK,2070,4.0201005025125625%,1990,1990,2070,1990,48,165,33077,2970833
KKGI,316,3.9473684210526314%,304,308,322,304,1451,84902,2662916,1580000
SOCI,660,3.937007874015748%,635,635,685,635,2942,335621,22222131,4658940
MOLI,326,3.821656050955414%,314,318,326,312,695,58984,1886700,888036
SMDM,545,3.8095238095238098%,525,545,555,520,58,604,32664,2600815
STAR,384,3.783783783783784%,370,370,384,370,38,261,9806,1843200
AYAM,500,3.7344398340248963%,482,482,500,480,2619,688503,33996287,2000000
SBMA,113,3.669724770642202%,109,113,114,109,234,17445,192858,105082
BKDP,198,3.664921465968586%,191,193,210,190,4829,512269,10156309,1487770
VICO,171,3.6363636363636362%,165,165,175,164,445,14050,239329,2602120
YPAS,1425,3.6363636363636362%,1375,1375,1570,1375,581,3680,538019,951900
DOSS,171,3.6363636363636362%,165,169,172,165,237,25290,428805,294975
UFOE,147,3.5211267605633805%,142,145,151,143,344,5845,85797,426044
MERI,121,3.418803418803419%,117,118,132,118,3555,282165,3533354,125251
PICO,182,3.4090909090909087%,176,177,189,174,782,23917,435789,103444
