Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BBCA,6500,2.766798418972332%,6325,6325,6575,6275,27069,2180172,1396352158,793274947
BUMI,208,-1.8867924528301887%,212,212,214,199,72123,56854088,1160149229,77237762
BMRI,4440,1.834862385321101%,4360,4350,4460,4260,41303,2291645,997765024,410256000
BBRI,3400,3.9755351681957185%,3270,3270,3410,3230,47285,2784954,922339678,510147599
AMMN,5100,4.938271604938271%,4860,4800,5100,4800,36938,1691467,840857964,369842910
EMAS,7700,-12%,8750,7900,8000,7475,28852,853201,652216478,113431519
DSSA,1070,-2.727272727272727%,1100,1085,1090,1010,40992,4716966,495289423,206122746
ANTM,3190,-2.4464831804281344%,3270,3240,3250,3100,34108,1539897,486662280,76658139
BRMS,730,8.148148148148149%,675,690,730,685,30787,6317411,448130151,103502349
CUAN,940,-0.5291005291005291%,945,940,945,890,42191,4392762,401468235,105673766
TLKM,2690,3.4615384615384617%,2600,2610,2690,2600,14653,1397303,370065867,266477363
DEWA,406,-2.8708133971291865%,418,420,420,384,42610,9105463,362317561,16519098
TPIA,1865,-0.7978723404255319%,1880,1880,1880,1805,35342,1921190,352025431,161344032
BBNI,3870,3.2%,3750,3740,3900,3640,15693,889396,335522881,142897195
PTRO,5300,-1.8518518518518516%,5400,5350,5375,5025,21328,536002,279363098,53456065
ASII,4980,1.4256619144602851%,4910,4910,4990,4850,10792,511662,251752157,201608095
TINS,4700,-0.8438818565400843%,4740,4770,4800,4570,15238,502431,234970592,35004441
MDKA,2880,-5.573770491803279%,3050,2970,2980,2800,17161,777368,222638494,70482193
ISAT,2380,-2.05761316872428%,2430,2430,2430,2300,13219,934866,220637754,76756930
INET,332,-3.488372093023256%,344,338,340,314,39698,6526973,212967091,7429389
MEDC,1575,1.2861736334405145%,1555,1595,1625,1560,12865,1250897,198798756,39589564
SINI,13750,4.961832061068702%,13100,13100,13825,12975,7247,119200,159313965,16534375
PTBA,3080,-0.6451612903225806%,3100,3100,3160,3020,12155,465983,143014031,35483630
AADI,12225,0%,12225,12400,12450,11975,6174,116950,141869403,95194752
ENRG,1455,-0.3424657534246575%,1460,1525,1530,1405,15000,949879,139180291,38651411
MBMA,505,-2.8846153846153846%,520,520,520,486,20084,2491451,124320375,54537687
BRPT,1655,-2.6470588235294117%,1700,1705,1710,1610,15542,682117,112555465,155151646
BULL,424,-0.9345794392523363%,428,430,430,410,16524,2677092,112371922,6569641
COCO,140,6.870229007633588%,131,131,140,128,19315,7879119,106278197,1993295
ADRO,2620,-0.7575757575757576%,2640,2640,2650,2580,15763,405826,105634446,75457295
INCO,4690,-2.898550724637681%,4830,4830,4870,4630,10442,216219,101614041,49431589
LAPD,93,34.78260869565217%,69,87,93,80,32954,10887191,98103250,368871
JARR,3830,3.234501347708895%,3710,3900,4000,3640,8354,258656,98053807,35353447
UNTR,26400,0.38022813688212925%,26300,26400,26800,26250,3450,35047,92518813,98475568
CPIN,3130,-0.949367088607595%,3160,3160,3160,3070,7930,294023,91529580,51325740
NCKL,920,-2.127659574468085%,940,930,935,900,10070,996677,90808790,58050712
KETR,905,-5.2356020942408374%,955,955,955,830,9591,989416,87253804,2571343
RAJA,800,-2.4390243902439024%,820,830,830,760,14119,1074596,85421133,16908330
BNBR,93,-2.1052631578947367%,95,96,96,89,23080,9161179,84318384,24490310
IATA,123,-2.380952380952381%,126,126,127,117,14877,6695977,81159506,3846927
BREN,3110,-4.012345679012346%,3240,3240,3250,3010,10025,247188,76579722,416075144
MDIA,200,-7.4074074074074066%,216,210,214,190,16409,3626234,72168661,7843108
ERAA,580,-2.5210084033613445%,595,600,605,570,5183,1238723,71836611,9251000
VKTR,765,-3.7735849056603774%,795,795,800,730,13369,905535,68599511,33468750
ESSA,650,-0.7633587786259541%,655,645,655,625,10669,1068220,68146206,11197534
PGAS,1550,1.9736842105263157%,1520,1520,1555,1510,6576,437936,67284185,37574338
KPIG,81,2.5316455696202533%,79,80,82,75,17277,8171504,64036878,8692340
BIPI,144,-1.36986301369863%,146,147,148,138,14829,4482119,63758943,9174268
WIRG,82,6.493506493506493%,77,79,84,76,17959,7672907,61890448,978967
RATU,4450,-2.8384279475982535%,4580,4610,4640,4320,6260,139463,61595974,12081989
INDY,2790,-1.4134275618374559%,2830,2830,2830,2690,6665,222730,61173030,14536436
FOLK,296,12.977099236641221%,262,268,316,252,23687,2047319,59372855,1211042
KOTA,193,-4.455445544554455%,202,206,206,186,15724,2943835,56880883,2035414
CDIA,665,-1.4814814814814816%,675,675,675,635,11521,850624,55490111,83011534
INKP,8825,-0.2824858757062147%,8850,8850,8925,8575,3408,62536,54609465,48281424
WIFI,1950,-2.2556390977443606%,1995,1995,1995,1910,6225,258468,49990750,10351671
TOWR,444,-2.2026431718061676%,454,454,454,430,5947,1129506,49688789,26239558
BWPT,127,1.6%,125,126,130,120,10375,3912582,48695190,4003712
BRIS,1730,0.5813953488372093%,1720,1720,1730,1675,11610,284424,48436783,79005428
PANI,5575,-0.8888888888888888%,5625,5625,5625,5400,4772,87750,48273015,101406475
ITMG,26150,0.19157088122605362%,26100,26175,26300,26025,2186,17736,46369670,29547539
ASLI,368,-11.538461538461538%,416,418,426,368,4764,1140362,45822188,2300000
JGLE,74,-3.896103896103896%,77,77,78,70,14872,6259960,45587540,1671061
DMAS,194,0.5181347150259068%,193,193,194,187,12184,2371148,45050278,9350434
IMPC,1725,0.29069767441860467%,1720,1730,1750,1675,5719,261992,44983875,94714575
UNVR,1620,-0.6134969325153374%,1630,1630,1645,1620,4431,267384,43394836,61803000
MPIX,160,25.984251968503933%,127,129,169,129,26640,2727977,42878897,250012
KIJA,192,-2.5380710659898478%,197,198,199,187,10162,2215304,42390375,3998379
ADMR,1595,-0.3125%,1600,1600,1610,1560,7576,265754,42163972,65207319
BUVA,710,-1.3888888888888888%,720,720,725,690,7714,585478,41198685,17478109
AMRT,1280,1.9920318725099602%,1255,1255,1295,1240,5071,313158,39630654,53151362
KLBF,735,0%,735,735,745,730,6506,536153,39534529,34407843
PSAB,580,0%,580,585,590,565,5856,673211,38540964,15346800
SMGR,1655,-2.359882005899705%,1695,1695,1705,1620,5124,227345,37495023,11173799
SSIA,1695,0%,1695,1700,1735,1650,5534,217234,36541318,7975398
TAPG,2250,-0.881057268722467%,2270,2270,2280,2150,9097,163069,35888717,44668215
RMKE,412,0.9803921568627451%,408,404,418,400,3558,861670,35005824,9012500
ARCI,1310,-0.38022813688212925%,1315,1320,1335,1285,8492,267294,34903355,33057850
ULTJ,1715,13.57615894039735%,1510,1515,1800,1515,5324,209585,34890442,17832870
TKIM,7900,0.6369426751592357%,7850,7600,7925,7575,1744,44053,34090855,24594466
INDF,7250,-0.684931506849315%,7300,7300,7450,7225,2933,46215,33874258,63658092
BBTN,1215,3.404255319148936%,1175,1180,1215,1160,3572,274474,32653636,16881331
JPFA,2270,0.8888888888888888%,2250,2250,2300,2220,3440,138401,31240631,26619326
PTSN,450,20.967741935483872%,372,400,454,394,12702,658368,28074884,2391455
SMIL,424,-2.3041474654377883%,434,444,446,394,2878,620042,26560766,3710707
COIN,725,1.3986013986013985%,715,720,725,655,6609,375121,25997784,10661765
GULA,830,-1.7751479289940828%,845,845,845,810,1623,310505,25818453,888401
FILM,775,-4.320987654320987%,810,810,820,750,7133,336304,25788633,8437864
GGRM,19000,-1.935483870967742%,19375,19375,19850,18850,2258,13377,25757130,36557672
SQMI,91,-8.080808080808081%,99,99,100,89,8094,2644424,24685163,1413921
MYOR,1500,-0.9900990099009901%,1515,1515,1520,1485,4505,164802,24664569,33538050
SGER,685,0.7352941176470588%,680,680,705,655,1993,346137,23819610,10677033
IRSX,404,-2.4154589371980677%,414,412,414,384,4055,594358,23663260,2502799
BFIN,995,-0.9950248756218906%,1005,1005,1010,985,2137,238062,23650130,14964187
MBTO,155,-7.738095238095238%,168,169,186,151,9762,1354274,22936133,165850
ELSA,725,0%,725,730,735,700,4222,319360,22899335,5291413
EMTK,496,-0.8%,500,500,505,488,5201,456955,22544649,30467520
SEMA,197,34.93150684931507%,146,150,197,150,14779,1222374,22401437,265410
JATI,124,11.711711711711711%,111,111,127,111,11228,1835298,22363036,404552
